Place ID,Latitude,Longitude
ChIJee-00zJnwokRx3VuvsxP5B0,40.6905106,-73.8090138
ChIJA1npTcZgwokRbGiTV8BFEC4,40.703286,-73.81514
ChIJzZPtnSJfwokRNaOLTV7_75M,40.753707,-73.9117363
ChIJaWdhTJ7zwokRIcj4FReHr04,40.8779951,-73.890577
ChIJz2u2SCVfwokRCQPLOxsulh0,40.7556802,-73.9229112
ChIJdWiqJTtfwokRzGy979q235s,40.756662,-73.920618
ChIJKe2x7cZgwokRTnSuX7Bpl0I,40.7048598,-73.8141073
ChIJn9FX_xd9wokRsHE-DV5ZOlU,40.7138745,-73.6300814
ChIJ0xlC2Bd9wokRg_zhX2Nc4iE,40.716035,-73.629976
ChIJR0lA1VBmwokR8BGfSBOyT-w,40.6413111,-73.7781391
ChIJc9PV7y1fwokRCXkEeswTFog,40.756955,-73.931001
ChIJKS8aa9VYwokRKtYzSUEt9Qk,40.753255,-73.915605
ChIJq5QT8QVfwokR6bMQ3Rp1xsk,40.7523963,-73.8960725
ChIJEzk_bJvzwokR2lZ8WMgxEq8,40.8728933,-73.8945076
ChIJx8IfSzdfwokR0Ex76RLhSwU,40.7619826,-73.9254087
ChIJYyE_3jNfwokRF7ubH8AAu74,40.7610002,-73.9303885
ChIJ_b6qJvpYwokR7TFSUhdqGUc,40.762546,-73.976704
ChIJ0SEkaFNYwokReNXzJdBV0Uc,40.7574294,-73.9899339
ChIJGeWzFcVgwokR9l7WLc8RVfg,40.7019419,-73.8083148
ChIJJ0CNr7BjwokRLD7cT02ypCM,40.7079527,-73.7176402
ChIJh0HMkE8k6IkRrFWIRvvpI9A,40.9069994,-73.337595
ChIJ0wJKQQ9gwokROLgFB9HUS_w,40.7595545,-73.8294553
ChIJ3Q33wxFgwokRWMtlx8DAje8,40.759362,-73.8290939
ChIJeazIuOxgwokRzvFYjM45PZA,40.717796,-73.81736
ChIJhRtmUZlZwokRkQOpUZlUGZ8,40.7317767,-73.9891566
ChIJkXQ3_INZwokRE74ZvG46Jjc,40.7292372,-73.9845058
ChIJaXls0QBfwokRl9AcpPjexoQ,40.7466891,-73.8908579
ChIJV1c9AzpfwokRqL2zvYClEJo,40.761305,-73.9234969
ChIJNUW_g79gwokRnBBcQ6swAvg,40.709749,-73.818619
ChIJqaiomQBZwokRTHOaUG7fUTs,40.7531823,-73.9822534
ChIJYdvfn_9YwokR0Q_aRO2KucY,40.7574005,-73.9819764
ChIJS04IkP9YwokRWk609yQEVxQ,40.7568722,-73.981967
ChIJmQJIxlVYwokRLgeuocVOGVU,40.758895,-73.985131
ChIJN1YInu5gwokR-Aof_ASKRCc,40.7176733,-73.8121889
ChIJvdXDralZwokR9CI-ab1clZk,40.7405862,-73.9867453
ChIJP5H2_q1gwokRgHq44zSq4b4,40.6986785,-73.8304661
ChIJTS3W0f9dwokRbWRMCUjcydo,40.695178,-73.84433
ChIJCVEDwLBhwokRviIrmumUqX4,40.7403895,-73.7848984
ChIJpXN6G7FhwokRtBkaHssngkQ,40.7398874,-73.7866569
ChIJma2O7gZfwokRQlysjYhF_fc,40.7490087,-73.8929621
ChIJz4WL5Y-IwokR8TC0RiGZKHM,40.7979606,-73.66628
ChIJbb8v6DIv6IkRFV61UdMfOSA,40.8356426,-73.3693291
ChIJdz2kJDNgwokRBEEVBTWpWN8,40.754974,-73.795928
ChIJv7pWgsxhwokRL0uz9uP4UYY,40.752701,-73.792442
ChIJf-C7p9JgwokRteLTHhaOpYY,40.6910806,-73.8064834
ChIJvfFpe8xgwokRKJjeAEtjLc8,40.6803125,-73.860457
ChIJ00Ji245ZwokRAOgx_6mR4ko,40.723451,-73.998077
ChIJlXDaw45ZwokRDYhnzj0difQ,40.7238757,-73.9989568
ChIJqVaBmI9ZwokRaB3W-b0pRtU,40.7250154,-73.9956956
ChIJ37vyISdewokRFGIYMG1pA70,40.7214983,-73.8447666
ChIJWZ3mPVhewokR3FP88Z42cSM,40.7307263,-73.8872043
ChIJWZ3mPVhewokREYQ7vRQPCT8,40.731076,-73.8872265
ChIJu0WEcutdwokRkAsVJgSDwRQ,40.680216,-73.86092
ChIJhS5yqzpewokR8IIPfk5NeIk,40.7265865,-73.8538177
ChIJS31k5oFkwokRL9y7LIGkaCo,40.678248,-73.6949854
ChIJYyJZQX1jwokR_-y7WmPepUk,40.674532,-73.6901014
ChIJVfNOk8J8wokRke1WU_965n8,40.6931828,-73.631626
ChIJZfTMAxBfwokRWxDKKKPVzKQ,40.7533908,-73.9035982
ChIJyWv7lNljwokR9_cz6P5Uwno,40.7095433,-73.7431543
ChIJQYS66bxYwokRbNAEGzGNlAQ,40.7794583,-73.9558289
ChIJpTrUcKVYwokRAWFvay1gEvs,40.7819659,-73.9490995
ChIJkUgwpKVYwokR-xHmkkTRt8Q,40.7825313,-73.9496508
ChIJVbfU57xYwokRk8S6lH3rfg8,40.7794833,-73.955839
ChIJlcBlyPxYwokRLJ9ONJ8qD3w,40.7571494,-73.9721498
ChIJ4Q2rG4JZwokR8TVjhflNfMk,40.721264,-73.9838497
ChIJ9Zaof2X2wokRGlYJrMCphac,40.8200471,-73.9492724
ChIJ-VCiZ3z2wokR0Q1IB6od1ZI,40.8240445,-73.9444496
ChIJwyisneVYwokRXuEP3sVVB9w,40.7617491,-73.9680045
ChIJo-VJKwJZwokRW7N1lvGskJs,40.752397,-73.9774692
ChIJVz4MXA5gwokRhGRy5-dJryQ,40.7598533,-73.8326213
ChIJ1e3fwgRgwokRhimMW_rJJlQ,40.7662098,-73.8314488
ChIJJRUX1RFgwokRxQA-dwkvtKg,40.7607154,-73.8299054
ChIJmfyYQcVgwokRcg0r4Y6pZbE,40.7016428,-73.8077651
ChIJUxriNA9ZwokRMKgICTh5kHQ,40.7428531,-73.9766857
ChIJddZx2E5fwokR1ufjexbHtak,40.7468076,-73.8897405
ChIJj_PUkLBjwokRWsi2lj2uLq8,40.7079013,-73.716493
ChIJwUDryqtZwokRvwq-_hU9EFU,40.751744,-73.9860507
ChIJUYdWnqdZwokRAMaUbC9nBv0,40.7433087,-73.9838629
ChIJhQoy3M9gwokR2U39c3pOTwc,40.698926,-73.807027
ChIJOxrlofpgwokRrPritryZtWM,40.7211934,-73.806302
ChIJTVoz3vBgwokR-MxedxxrOwU,40.724191,-73.80937
ChIJM7obNqRZwokRy8DhDL0xreA,40.7432863,-73.9903634
ChIJp32RvaZZwokRfH0Zgzl9mXk,40.7420371,-73.9875635
ChIJHW8b6qhZwokRJtwCEu3NV3w,40.7432863,-73.9903634
ChIJz1idlLxYwokRwl1Twi2KrIQ,40.7415171,-73.9881647
ChIJS3gYNCtZwokReDd0o89zXg0,40.7439997,-73.9350126
ChIJ2ec5u9RewokRZCCbvqyECFw,40.7438046,-73.9350636
ChIJ0S2EOtRewokRMf2yxJt1-Zw,40.7446777,-73.9310986
ChIJu0yL1oZZwokRsW5e2qKrSMg,40.7192181,-73.9892889
ChIJmx18YI5ZwokRYGtMDj9AT-E,40.7254473,-73.9992639
ChIJQ5yUr4VZwokRbMN-yaOarmc,40.7237712,-73.9923909
ChIJD1c5G4JZwokRFeMkqonZ5ZQ,40.7210689,-73.9838224
ChIJXRpDqgtZwokRARaEH5TIJjc,40.7377471,-73.979939
ChIJje3Ga6lZwokR0_apS23R3RA,40.7497238,-73.9882284
ChIJX6mEEqlZwokRtDQOWIDVc3I,40.7495639,-73.9865348
ChIJn_-RSqFZwokR1bO4MeM6vwo,40.7408815,-73.9875274
ChIJ5bQPhMdZwokRkTwKhVxhP1g,40.7479925,-74.0047649
ChIJ62mfYr1ZwokRlcEglXQ-DUM,40.737084,-73.996744
ChIJp1CFXgpZwokRX5LLGGUYReM,40.7377933,-73.9812265
ChIJrc6_ZgRfwokR09_KMeIqiDI,40.7487922,-73.8973796
